code,name,market
00883B,中信ESG投資級債,上櫃
00884B,中信低碳新興債,上櫃
00885,富邦越南,上市
00886,永豐美國科技,上櫃
00887,永豐中國科技50大,上櫃
00888,永豐台灣ESG,上櫃
00890B,凱基ESG BBB 債 15+,上櫃
00891,中信關鍵半導體,上市
00892,富邦台灣半導體,上市
00893,國泰智能電動車,上市
00894,中信小資高價30,上市
00895,富邦未來車,上市
00896,中信綠能及電動車,上市
00897,富邦基因免疫生技,上市
00898,國泰基因免疫革命,上市
00899,FT潔淨能源,上市
00900,富邦特選高股息30,上市
00901,永豐智能車供應鏈,上市
00902,中信電池及儲能,上市
00903,富邦元宇宙,上市
00904,新光臺灣半導體30,上市
00905,FT臺灣SMART,上市
00907,永豐優息存股,上市
00908,富邦入息REITs+,上市
00909,國泰數位支付服務,上市
00910,第一金太空衛星,上市
00911,兆豐洲際半導體,上市
00912,中信臺灣智慧50,上市
00913,兆豐台灣晶圓製造,上市
00915,凱基優選高股息30,上市
00916,國泰全球品牌50,上市
00917,中信特選金融,上市
00918,大華優利高填息30,上市
00919,群益台灣精選高息,上市
00920,富邦ESG綠色電力,上市
00921,兆豐龍頭等權重,上市
00922,國泰台灣領袖50,上市
00923,群益台ESG低碳50,上市
00924,復華S&P500成長,上市
00926,凱基全球菁英55,上市
00927,群益半導體收益,上市
00928,中信上櫃ESG 30,上櫃
00929,復華台灣科技優息,上市
00930,永豐ESG低碳高息,上市
00931B,統一美債20年,上櫃
00932,兆豐永續高息等權,上市
00933B,國泰10Y+金融債,上櫃
00934,中信成長高股息,上市
00935,野村臺灣新科技50,上市
00936,台新永續高息中小,上市
00937B,群益ESG投等債20+,上櫃
00938,凱基優選30,上市
00939,統一台灣高息動能,上市
00940,元大台灣價值高息,上市
00941,中信上游半導體,上市
00942B,台新美A公司債20+,上櫃
00943,兆豐電子高息等權,上市
00944,野村趨勢動能高息,上市
00945B,凱基美國非投等債,上市
00946,群益科技高息成長,上市
00947,台新臺灣IC設計,上市
00948B,中信優息投資級債,上櫃
00949,復華日本龍頭,上市
00950B,凱基A級公司債,上櫃
00951,台新日本半導體,上市
00952,凱基台灣AI50,上市
00953B,群益優選非投等債,上市
00954,中信日本半導體,上市
00955,中信日本商社,上櫃
00956,中信日經高股息,上市
00957B,兆豐US優選投等債,上櫃
00958B,永豐ESG銀行債15+,上櫃
00959B,大華投等美債15Y+,上櫃
00960,野村全球航運龍頭,上市
00961,FT臺灣永續高息,上市
00962,台新AI優息動能,上市
00963,中信全球高股息,上市
00964,中信亞太高股息,上市
00965,元大航太防衛科技,上市
00966B,統一ESG投等債15+,上櫃
00967B,元大優息美債,上櫃
00968B,元大優息投等債,上櫃
00969B,元大零息超長美債,上櫃
00970B,新光BBB投等債20+,上櫃
00971,野村美國研發龍頭,上市
00972,野村日本動能高息,上市
